Model,Features,Val_Accuracy,Test_Accuracy,Precision,Recall,F1_Score
Naive Bayes,TF-IDF Unigram,0.9631979695431472,0.9771573604060914,0.9827089337175793,0.9660056657223796,0.9742857142857143
Naive Bayes,TF-IDF Bigram,0.9644670050761421,0.9746192893401016,0.9770773638968482,0.9660056657223796,0.9715099715099715
Naive Bayes,Bag of Words,0.9657360406091371,0.9720812182741116,0.9742120343839542,0.9631728045325779,0.9686609686609686
Linear SVM,TF-IDF Unigram,0.9543147208121827,0.9619289340101523,0.976401179941003,0.9376770538243626,0.9566473988439307
Linear SVM,TF-IDF Bigram,0.9555837563451777,0.9606598984771574,0.9763313609467456,0.9348441926345609,0.9551374819102749
Logistic Regression,TF-IDF Unigram,0.9543147208121827,0.9593908629441624,0.9762611275964391,0.9320113314447592,0.9536231884057971
Logistic Regression,TF-IDF Bigram,0.9517766497461929,0.9581218274111675,0.9761904761904762,0.9291784702549575,0.9521044992743106
Logistic Regression,Bag of Words,0.9454314720812182,0.9479695431472082,0.956140350877193,0.9263456090651558,0.9410071942446043
Random Forest,TF-IDF Unigram,0.932741116751269,0.9441624365482234,0.9904761904761905,0.8838526912181303,0.9341317365269461
Random Forest,Bag of Words,0.9428934010152284,0.9416243654822335,0.9781931464174455,0.8895184135977338,0.9317507418397626
Random Forest,TF-IDF Bigram,0.9302030456852792,0.9403553299492385,0.9903846153846154,0.8753541076487252,0.9293233082706767
Linear SVM,Bag of Words,0.9238578680203046,0.9251269035532995,0.9248554913294798,0.9065155807365439,0.9155937052932761
